settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	promotion-id
13009930262						Order	026-7357912-9159569	026-7357912-9159569		Dc9gB9FGs	Amazon.co.uk	ItemPrice	ShippingTax	0.75	AFN	11.03.2020	11.03.2020 11:25:53 UTC	26692400472011			Rofee Kitchen	1	
13009930262						Order	026-7357912-9159569	026-7357912-9159569		Dc9gB9FGs	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-5.05	AFN	11.03.2020	11.03.2020 11:25:53 UTC	26692400472011			Rofee Kitchen	1	
13009930262						Order	026-7357912-9159569	026-7357912-9159569		Dc9gB9FGs	Amazon.co.uk	ItemFees	Commission	-6.36	AFN	11.03.2020	11.03.2020 11:25:53 UTC	26692400472011			Rofee Kitchen	1	
13009930262						Order	026-7357912-9159569	026-7357912-9159569		Dc9gB9FGs	Amazon.co.uk	Promotion	Shipping	-3.74	AFN	11.03.2020	11.03.2020 11:25:53 UTC	26692400472011			Rofee Kitchen	1	UK Core Free Shipping 2015/04/08 23-59-11-975
13009930262						Order	026-7357912-9159569	026-7357912-9159569		Dc9gB9FGs	Amazon.co.uk	Promotion	TaxDiscount	-0.75	AFN	11.03.2020	11.03.2020 11:25:53 UTC	26692400472011			Rofee Kitchen	1	UK Core Free Shipping 2015/04/08 23-59-11-975
13009930262						Order	203-9036191-8669937	203-9036191-8669937		DNTk3v3Js	Amazon.co.uk	ItemPrice	Principal	14.99	AFN	03.03.2020	03.03.2020 04:49:18 UTC	60417263932267			mb015-a2141-coeudc1	1	
13009930262						Order	203-9036191-8669937	203-9036191-8669937		DNTk3v3Js	Amazon.co.uk	ItemPrice	Tax	3.00	AFN	03.03.2020	03.03.2020 04:49:18 UTC	60417263932267			mb015-a2141-coeudc1	1	
13009930262						Order	203-9036191-8669937	203-9036191-8669937		DNTk3v3Js	Amazon.co.uk	ItemPrice	Shipping	4.49	AFN	03.03.2020	03.03.2020 04:49:18 UTC	60417263932267			mb015-a2141-coeudc1	1	
13009930262						Order	203-9036191-8669937	203-9036191-8669937		DNTk3v3Js	Amazon.co.uk	ItemPrice	ShippingTax	0.90	AFN	03.03.2020	03.03.2020 04:49:18 UTC	60417263932267			mb015-a2141-coeudc1	1	
13009930262						Order	203-9036191-8669937	203-9036191-8669937		DNTk3v3Js	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-2.14	AFN	03.03.2020	03.03.2020 04:49:18 UTC	60417263932267			mb015-a2141-coeudc1	1	
13009930262						Order	203-9036191-8669937	203-9036191-8669937		DNTk3v3Js	Amazon.co.uk	ItemFees	Commission	-2.16	AFN	03.03.2020	03.03.2020 04:49:18 UTC	60417263932267			mb015-a2141-coeudc1	1	
13009930262						Order	203-9036191-8669937	203-9036191-8669937		DNTk3v3Js	Amazon.co.uk	ItemFees	ShippingChargeback	-4.49	AFN	03.03.2020	03.03.2020 04:49:18 UTC	60417263932267			mb015-a2141-coeudc1	1	
13009930262						Order	203-6146189-5084331	203-6146189-5084331		DNp8tt67F	Amazon.co.uk	ItemPrice	Principal	16.66	AFN	11.03.2020	11.03.2020 15:34:09 UTC	53486758514395			mb016-a1707-coeudc1	1	
13009930262						Order	203-6146189-5084331	203-6146189-5084331		DNp8tt67F	Amazon.co.uk	ItemPrice	Tax	3.33	AFN	11.03.2020	11.03.2020 15:34:09 UTC	53486758514395			mb016-a1707-coeudc1	1	
13009930262						Order	203-6146189-5084331	203-6146189-5084331		DNp8tt67F	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-2.14	AFN	11.03.2020	11.03.2020 15:34:09 UTC	53486758514395			mb016-a1707-coeudc1	1	
13009930262						Order	203-6146189-5084331	203-6146189-5084331		DNp8tt67F	Amazon.co.uk	ItemFees	Commission	-2.40	AFN	11.03.2020	11.03.2020 15:34:09 UTC	53486758514395			mb016-a1707-coeudc1	1	
13009930262						Order	202-5662381-1897918	202-5662381-1897918		DXwsMTkWL	Amazon.co.uk	ItemPrice	Principal	44.16	AFN	11.03.2020	11.03.2020 14:55:46 UTC	09967236742603			Rofee Kitchen	1	
13009930262						Order	202-5662381-1897918	202-5662381-1897918		DXwsMTkWL	Amazon.co.uk	ItemPrice	Tax	8.83	AFN	11.03.2020	11.03.2020 14:55:46 UTC	09967236742603			Rofee Kitchen	1	
