settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased
13074347912						Order	203-0295284-7077110	203-0295284-7077110		DCRRNRyvs	Amazon.co.uk	ItemFees	Commission	-2.16	AFN	22.03.2020	22.03.2020 04:03:05 UTC	59879793408699			mb011-a1706-coeudc1	1
13074347912						Order	205-8527670-1245918	205-8527670-1245918		D3gDzWWvF	Amazon.co.uk	ItemPrice	Principal	28.32	AFN	29.03.2020	29.03.2020 10:35:40 UTC	33607477787331			SW-HH8M-K23D	1
13074347912						Order	205-8527670-1245918	205-8527670-1245918		D3gDzWWvF	Amazon.co.uk	ItemPrice	Tax	5.67	AFN	29.03.2020	29.03.2020 10:35:40 UTC	33607477787331			SW-HH8M-K23D	1
13074347912						Order	205-8527670-1245918	205-8527670-1245918		D3gDzWWvF	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-2.45	AFN	29.03.2020	29.03.2020 10:35:40 UTC	33607477787331			SW-HH8M-K23D	1
13074347912						Order	205-8527670-1245918	205-8527670-1245918		D3gDzWWvF	Amazon.co.uk	ItemFees	Commission	-4.08	AFN	29.03.2020	29.03.2020 10:35:40 UTC	33607477787331			SW-HH8M-K23D	1
13074347912						Order	026-6989087-8165103	026-6989087-8165103		DgxK2G4tc	Amazon.co.uk	ItemPrice	Principal	28.32	AFN	28.03.2020	28.03.2020 15:46:21 UTC	37032714712267			SW-HH8M-K23D	1
13074347912						Order	026-6989087-8165103	026-6989087-8165103		DgxK2G4tc	Amazon.co.uk	ItemPrice	Tax	5.67	AFN	28.03.2020	28.03.2020 15:46:21 UTC	37032714712267			SW-HH8M-K23D	1
13074347912						Order	026-6989087-8165103	026-6989087-8165103		DgxK2G4tc	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-2.45	AFN	28.03.2020	28.03.2020 15:46:21 UTC	37032714712267			SW-HH8M-K23D	1
13074347912						Order	026-6989087-8165103	026-6989087-8165103		DgxK2G4tc	Amazon.co.uk	ItemFees	Commission	-4.08	AFN	28.03.2020	28.03.2020 15:46:21 UTC	37032714712267			SW-HH8M-K23D	1
13074347912						Order	203-8508336-4928326	203-8508336-4928326		Dcz4hN9xF	Amazon.co.uk	ItemPrice	Principal	14.99	AFN	27.03.2020	27.03.2020 12:04:45 UTC	27000271946179			mb015-a1932-coeudc1	1
13074347912						Order	203-8508336-4928326	203-8508336-4928326		Dcz4hN9xF	Amazon.co.uk	ItemPrice	Tax	3.00	AFN	27.03.2020	27.03.2020 12:04:45 UTC	27000271946179			mb015-a1932-coeudc1	1
13074347912						Order	203-8508336-4928326	203-8508336-4928326		Dcz4hN9xF	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-2.02	AFN	27.03.2020	27.03.2020 12:04:45 UTC	27000271946179			mb015-a1932-coeudc1	1
13074347912						Order	203-8508336-4928326	203-8508336-4928326		Dcz4hN9xF	Amazon.co.uk	ItemFees	Commission	-2.16	AFN	27.03.2020	27.03.2020 12:04:45 UTC	27000271946179			mb015-a1932-coeudc1	1
13074347912						Order	202-8882070-0518710	202-8882070-0518710		DNTLH9cwM	Amazon.co.uk	ItemPrice	Principal	14.99	AFN	28.03.2020	28.03.2020 20:05:50 UTC	44473911629731			mb003-a1706-coeudc1	1
